crop,yield_kg_per_hectare,price_inr_per_kg,cost_inr_per_hectare
rice,4000,20,60000
maize,5000,18,55000
chickpea,1500,45,40000
kidneybeans,1200,60,45000
pigeonpeas,1000,65,42000
mothbeans,800,70,35000
mungbean,700,72,38000
blackgram,900,68,41000
lentil,1000,55,39000
pomegranate,8000,80,150000
banana,50000,15,200000
mango,10000,40,120000
grapes,15000,50,180000
watermelon,30000,10,70000
muskmelon,25000,12,65000
apple,20000,70,250000
orange,12000,35,100000
papaya,60000,8,110000
coconut,10000,30,90000
cotton,2000,55,50000
jute,2500,45,48000
coffee,1000,75,80000
